restaurant_name,restaurant_url,location,price_level,cuisine,michelin_distinction,raw_card_text,page_number
Superiority Burger,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/superiority-burger," New York, NY, USA",$$,Vegetarian,bib,"Superiority Burger | New York, NY, USA | $$ · Vegetarian",3
The Office of Mr. Moto,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-office-at-mr-moto," New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Reserve a table | The Office of Mr. Moto | New York, NY, USA | $$$$ · Japanese",3
4 Charles Prime Rib,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/4-charles-prime-rib," New York, NY, USA",$$$$,Steakhouse,Selected Restaurants,"Reserve a table | 4 Charles Prime Rib | New York, NY, USA | $$$$ · Steakhouse",3
Smithereens,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/smithereens," New York, NY, USA",$$$,Seafood,Selected Restaurants,"Reserve a table | Smithereens | New York, NY, USA | $$$ · Seafood",3
Bar Miller,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-miller," New York, NY, USA",$$$$,Japanese,One Star,"Reserve a table | Bar Miller | New York, NY, USA | $$$$ · Japanese",3
Tsukimi,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/tsukimi," New York, NY, USA",$$$$,Japanese,One Star,"Tsukimi | New York, NY, USA | $$$$ · Japanese",3
Pranakhon,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/pranakhon," New York, NY, USA",$$$,Thai,bib,"Reserve a table | Pranakhon | New York, NY, USA | $$$ · Thai",3
Rosella,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/rosella," New York, NY, USA",$$$,Japanese,Selected Restaurants,"Reserve a table | Rosella | New York, NY, USA | $$$ · Japanese",3
Kubeh,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kubeh," New York, NY, USA",$$,Middle Eastern,Selected Restaurants,"Reserve a table | Kubeh | New York, NY, USA | $$ · Middle Eastern",3
Semma,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/semma," New York, NY, USA",$$$,Indian,One Star,"Semma | New York, NY, USA | $$$ · Indian",3
HAGS,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hags," New York, NY, USA",$$$$,Contemporary,Selected Restaurants,"HAGS | New York, NY, USA | $$$$ · Contemporary",3
Kanoyama,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kanoyama," New York, NY, USA",$$$$,Japanese,Selected Restaurants,"Reserve a table | Kanoyama | New York, NY, USA | $$$$ · Japanese",3
Momofuku Noodle Bar,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/momofuku-noodle-bar," New York, NY, USA",$$,Asian,bib,"Reserve a table | Momofuku Noodle Bar | New York, NY, USA | $$ · Asian",3
Al Badawi,https://guide.michelin.com/us/en/new-york-state/brooklyn/restaurant/al-badawi," Brooklyn, NY, USA",$$,Middle Eastern,Selected Restaurants,"Al Badawi | Brooklyn, NY, USA | $$ · Middle Eastern",3
Bánh Anh Em,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/banh-anh-em," New York, NY, USA",$$,Vietnamese,bib,"Bánh Anh Em | New York, NY, USA | $$ · Vietnamese",3
Yellow Rose,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/yellow-rose," New York, NY, USA",$$,Tex-Mex,bib,"Reserve a table | Yellow Rose | New York, NY, USA | $$ · Tex-Mex",3
Bartolo,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bartolo," New York, NY, USA",$$$,Spanish,Selected Restaurants,"Reserve a table | Bartolo | New York, NY, USA | $$$ · Spanish",3
